x,y
-4.498726666,0.408102071
-16.51256258,48.58985781
0.879474314,-0.659004475
1.241848198,1.703257013
-13.11622959,12.95898167
-5.01328073,9.400923292
-9.186321424,-1.307782539
-4.405733776,0.303085498
-7.505036492,8.124799103
0.126723628,0.061761641
-3.910958934,-6.837205303
-4.572106722,-1.373771698
-3.061154857,5.446037686
-14.08828314,45.68832445
-10.87275076,-17.28521059
1.833032568,-2.011670267
-4.047056877,2.741126015
-2.964284135,-1.949028542
-12.02789536,54.59912496
5.861220839,10.02142999
-7.697713878,15.88096599
-2.565561141,-1.209748469
-6.30766,4.827823422
-0.383432055,-1.089943429
-9.554559824,8.56098252
-0.080862282,1.165999991
0.015349709,-0.45429801
-8.95380174,18.58269595
-13.29016786,11.09031547
-2.995026241,4.039762403
-16.74002441,20.80762362
-1.347612048,0.522018413
-1.22372398,3.194011849
-1.057168102,3.716716007
-6.710317231,2.42920672
4.11924446,-7.285792833
-5.740702402,8.421711954
-9.857829485,15.61102798
-6.945694838,24.95518039
-11.31828083,-0.669300142
-11.39132753,-7.348815428
-3.978065222,4.078141907
-4.767161259,3.854512561
-9.54122067,5.330968176
-6.093416157,7.700923949
-5.7764771,9.288074849
-6.531281861,8.193613333
3.846446907,3.433880274
-7.965209977,8.575218276
-1.552843761,0.672132055
